id,resume_text_256,jd_text_128,job_family,seniority,advance
RS00022,"1+ years experience; key skills: java, rest, kafka, test-cases, webpack. Delivered projects with focus on test-cases and collaboration. Comfortable with code reviews.","We are hiring a Junior Backend professional. Must have: java, rest, databases. Nice to have: postgres, kafka.",Backend,Junior,1
RS00023,"0+ years experience; key skills: html, css, javascript, react, statistics, accessibility. Delivered projects with focus on accessibility and collaboration. Comfortable with agile.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: ui, accessibility.",Frontend,Junior,1
RS00024,"10+ years experience; key skills: requirements, scrum, kafka, microservices, terraform. Delivered projects with focus on kafka and collaboration. Comfortable with scrum.","We are hiring a Senior PM professional. Must have: requirements, planning, stakeholders. Nice to have: roadmap, backlog.",PM,Senior,0
RS00025,"1+ years experience; key skills: css, javascript, html, etl, scrum, api-testing, planning, monitoring, webpack. Delivered projects with focus on api-testing and collaboration. Comfortable with agile.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: accessibility, typescript.",Frontend,Junior,1
RS00026,"5+ years experience; key skills: ci/cd, containers, terraform, bash, pytest, testing, etl, regression. Delivered projects with focus on testing and collaboration. Comfortable with agile.","We are hiring a Mid DevOps professional. Must have: linux, ci/cd, containers. Nice to have: bash, kubernetes.",DevOps,Mid,1
RS00027,"5+ years experience; key skills: statistics, api-testing, kubernetes, rest, scikit-learn. Delivered projects with focus on rest and collaboration. Comfortable with scrum.","We are hiring a Senior Data professional. Must have: python, sql, statistics. Nice to have: scikit-learn, tableau.",Data,Senior,0
RS00028,"1+ years experience; key skills: html, numpy, scrum, css. Delivered projects with focus on scrum and collaboration. Comfortable with code reviews.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: react, ui.",Frontend,Junior,0
RS00029,"2+ years experience; key skills: linux, ci/cd, selenium, bash, docker, terraform, ui, docker. Delivered projects with focus on ui and collaboration. Comfortable with agile.","We are hiring a Mid DevOps professional. Must have: linux, ci/cd, containers. Nice to have: terraform, docker.",DevOps,Mid,1
RS00030,"0+ years experience; key skills: selenium, aws, etl, postgres, cypress. Delivered projects with focus on cypress and collaboration. Comfortable with code reviews.","We are hiring a Junior PM professional. Must have: requirements, planning, stakeholders. Nice to have: scrum, backlog.",PM,Junior,0
RS00031,"2+ years experience; key skills: test-cases, bug-tracking, testing, postgres, css, metrics, rest, jira, terraform. Delivered projects with focus on metrics and collaboration. Comfortable with agile.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: api-testing, regression.",QA,Mid,1
RS00032,"1+ years experience; key skills: terraform, bash, microservices, css, numpy. Delivered projects with focus on microservices and collaboration. Comfortable with documentation.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: regression, jira.",QA,Junior,0
RS00033,"2+ years experience; key skills: css, pandas, numpy, cypress, test-cases, bash, sql. Delivered projects with focus on test-cases and collaboration. Comfortable with documentation.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: ui, react.",Frontend,Junior,0
RS00034,"4+ years experience; key skills: jira, ci/cd, ui, terraform, docker, aws. Delivered projects with focus on terraform and collaboration. Comfortable with agile.","We are hiring a Mid DevOps professional. Must have: linux, ci/cd, containers. Nice to have: aws, docker.",DevOps,Mid,0
RS00035,"9+ years experience; key skills: java, rest, spring, ci/cd, pandas. Delivered projects with focus on pandas and collaboration. Comfortable with agile.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: aws, spring.",Backend,Senior,1
RS00036,"5+ years experience; key skills: sql, css, linux, numpy, pandas. Delivered projects with focus on linux and collaboration. Comfortable with code reviews.","We are hiring a Mid Data professional. Must have: python, sql, statistics. Nice to have: tableau, scikit-learn.",Data,Mid,0
RS00037,"5+ years experience; key skills: testing, test-cases, java, pytest, statistics, microservices, python, databases. Delivered projects with focus on python and collaboration. Comfortable with agile.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: regression, cypress.",QA,Mid,1
RS00038,"4+ years experience; key skills: communication, metrics, microservices, monitoring, ui. Delivered projects with focus on metrics and collaboration. Comfortable with scrum.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: postgres, docker.",Backend,Mid,0
RS00039,"2+ years experience; key skills: css, html, docker, microservices, statistics. Delivered projects with focus on html and collaboration. Comfortable with documentation.","We are hiring a Mid Frontend professional. Must have: javascript, html, css. Nice to have: testing, webpack.",Frontend,Mid,0
RS00040,"1+ years experience; key skills: javascript, selenium, kafka, metrics. Delivered projects with focus on kafka and collaboration. Comfortable with documentation.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: testing, react.",Frontend,Junior,0
RS00041,"2+ years experience; key skills: roadmap, pandas, testing, spring, cypress, pytest. Delivered projects with focus on roadmap and collaboration. Comfortable with scrum.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: jira, cypress.",QA,Mid,0
RS00042,"2+ years experience; key skills: etl, typescript, agile, databases. Delivered projects with focus on agile and collaboration. Comfortable with agile.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: aws, kafka.",Backend,Mid,0
RS00043,"9+ years experience; key skills: roadmap, typescript, kubernetes. Delivered projects with focus on typescript and collaboration. Comfortable with documentation.","We are hiring a Senior Frontend professional. Must have: javascript, html, css. Nice to have: webpack, typescript.",Frontend,Senior,0
RS00044,"10+ years experience; key skills: containers, ci/cd, accessibility, react, monitoring. Delivered projects with focus on react and collaboration. Comfortable with scrum.","We are hiring a Senior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: docker, terraform.",DevOps,Senior,1
RS00045,"1+ years experience; key skills: pandas, react, webpack. Delivered projects with focus on webpack and collaboration. Comfortable with agile.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: typescript, react.",Frontend,Junior,0
RS00046,"2+ years experience; key skills: planning, regression, cypress, kubernetes. Delivered projects with focus on kubernetes and collaboration. Comfortable with scrum.","We are hiring a Junior PM professional. Must have: requirements, planning, stakeholders. Nice to have: metrics, backlog.",PM,Junior,0
RS00047,"5+ years experience; key skills: testing, bug-tracking, ui, metrics, javascript. Delivered projects with focus on javascript and collaboration. Comfortable with documentation.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: jira, api-testing.",QA,Mid,1
RS00048,"5+ years experience; key skills: bash, scrum, react, accessibility. Delivered projects with focus on bash and collaboration. Comfortable with documentation.","We are hiring a Mid PM professional. Must have: requirements, planning, stakeholders. Nice to have: backlog, scrum.",PM,Mid,0
RS00049,"5+ years experience; key skills: databases, rest, metrics, communication, jira, tableau. Delivered projects with focus on jira and collaboration. Comfortable with documentation.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: microservices, aws.",Backend,Senior,1
RS00050,"3+ years experience; key skills: testing, test-cases, html, bash, regression, statistics, javascript. Delivered projects with focus on javascript and collaboration. Comfortable with agile.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: api-testing, selenium.",QA,Mid,1
RS00051,"9+ years experience; key skills: python, statistics, typescript, css, rest, webpack. Delivered projects with focus on webpack and collaboration. Comfortable with code reviews.","We are hiring a Senior Data professional. Must have: python, sql, statistics. Nice to have: scikit-learn, tableau.",Data,Senior,1
RS00052,"5+ years experience; key skills: test-cases, databases, python, aws, containers. Delivered projects with focus on databases and collaboration. Comfortable with agile.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: api-testing, cypress.",QA,Mid,0
RS00053,"1+ years experience; key skills: ci/cd, linux, planning, monitoring, testing, terraform, containers, kubernetes. Delivered projects with focus on terraform and collaboration. Comfortable with documentation.","We are hiring a Junior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: aws, terraform.",DevOps,Junior,1
RS00054,"9+ years experience; key skills: testing, ui, metrics, kafka, communication, aws, pandas. Delivered projects with focus on kafka and collaboration. Comfortable with scrum.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: jira, api-testing.",QA,Senior,0
RS00055,"9+ years experience; key skills: bug-tracking, test-cases, jira, sql, ci/cd. Delivered projects with focus on sql and collaboration. Comfortable with scrum.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: pytest, selenium.",QA,Senior,1
RS00056,"0+ years experience; key skills: databases, java, rest, javascript, kubernetes, numpy, docker, scikit-learn, testing. Delivered projects with focus on kubernetes and collaboration. Comfortable with code reviews.","We are hiring a Junior Backend professional. Must have: java, rest, databases. Nice to have: spring, microservices.",Backend,Junior,1
RS00057,"9+ years experience; key skills: css, html, containers, webpack, aws, backlog, postgres, cypress. Delivered projects with focus on postgres and collaboration. Comfortable with agile.","We are hiring a Senior Frontend professional. Must have: javascript, html, css. Nice to have: typescript, accessibility.",Frontend,Senior,1
RS00058,"7+ years experience; key skills: java, databases, rest, sql, scrum, microservices, aws, terraform. Delivered projects with focus on sql and collaboration. Comfortable with code reviews.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: kafka, aws.",Backend,Senior,1
RS00059,"3+ years experience; key skills: containers, accessibility, sql, pandas, communication. Delivered projects with focus on sql and collaboration. Comfortable with agile.","We are hiring a Mid DevOps professional. Must have: linux, ci/cd, containers. Nice to have: terraform, docker.",DevOps,Mid,0
RS00060,"5+ years experience; key skills: stakeholders, requirements, metrics, statistics, pytest, scikit-learn, aws, bash. Delivered projects with focus on aws and collaboration. Comfortable with code reviews.","We are hiring a Mid PM professional. Must have: requirements, planning, stakeholders. Nice to have: backlog, agile.",PM,Mid,1
RS00061,"10+ years experience; key skills: databases, agile, rest, webpack, metrics. Delivered projects with focus on webpack and collaboration. Comfortable with documentation.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: spring, postgres.",Backend,Senior,0
RS00062,"5+ years experience; key skills: linux, containers, bash, java, scrum, test-cases, monitoring. Delivered projects with focus on java and collaboration. Comfortable with documentation.","We are hiring a Senior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: aws, kubernetes.",DevOps,Senior,1
RS00063,"6+ years experience; key skills: postgres, stakeholders, api-testing. Delivered projects with focus on postgres and collaboration. Comfortable with agile.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: microservices, docker.",Backend,Senior,0
RS00064,"1+ years experience; key skills: etl, planning, bash, javascript, ui, kubernetes. Delivered projects with focus on ui and collaboration. Comfortable with agile.","We are hiring a Junior Backend professional. Must have: java, rest, databases. Nice to have: docker, aws.",Backend,Junior,0
RS00065,"5+ years experience; key skills: css, javascript, python, spring, kubernetes, pytest. Delivered projects with focus on python and collaboration. Comfortable with code reviews.","We are hiring a Mid Frontend professional. Must have: javascript, html, css. Nice to have: react, testing.",Frontend,Mid,1
RS00066,"2+ years experience; key skills: bug-tracking, rest, terraform, roadmap, testing, bash, databases. Delivered projects with focus on databases and collaboration. Comfortable with agile.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: selenium, api-testing.",QA,Junior,0
RS00067,"5+ years experience; key skills: jira, scrum, bug-tracking, python. Delivered projects with focus on bug-tracking and collaboration. Comfortable with scrum.","We are hiring a Senior Data professional. Must have: python, sql, statistics. Nice to have: etl, tableau.",Data,Senior,0
RS00068,"0+ years experience; key skills: ci/cd, react, css, html, accessibility, numpy. Delivered projects with focus on css and collaboration. Comfortable with agile.","We are hiring a Junior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: docker, bash.",DevOps,Junior,0
RS00069,"7+ years experience; key skills: rest, containers, regression, ui. Delivered projects with focus on containers and collaboration. Comfortable with documentation.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: microservices, postgres.",Backend,Senior,0
RS00070,"5+ years experience; key skills: bug-tracking, testing, test-cases, backlog, api-testing, containers, cypress, react. Delivered projects with focus on api-testing and collaboration. Comfortable with code reviews.","We are hiring a Mid QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: regression, cypress.",QA,Mid,1
RS00071,"2+ years experience; key skills: etl, scrum, cypress. Delivered projects with focus on scrum and collaboration. Comfortable with agile.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: docker, aws.",Backend,Mid,0
RS00072,"9+ years experience; key skills: databases, java, terraform, accessibility, tableau. Delivered projects with focus on terraform and collaboration. Comfortable with code reviews.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: docker, spring.",Backend,Senior,1
RS00073,"6+ years experience; key skills: scrum, statistics, bash, pytest. Delivered projects with focus on statistics and collaboration. Comfortable with scrum.","We are hiring a Senior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: kubernetes, aws.",DevOps,Senior,0
RS00074,"1+ years experience; key skills: statistics, sql, jira, test-cases, kafka, aws, bug-tracking, tableau. Delivered projects with focus on test-cases and collaboration. Comfortable with documentation.","We are hiring a Junior Data professional. Must have: python, sql, statistics. Nice to have: etl, scikit-learn.",Data,Junior,1
RS00075,"4+ years experience; key skills: agile, spring, css, microservices, scikit-learn, tableau. Delivered projects with focus on spring and collaboration. Comfortable with documentation.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: postgres, kafka.",Backend,Mid,0
RS00076,"5+ years experience; key skills: sql, statistics, ui, numpy, selenium, tableau. Delivered projects with focus on numpy and collaboration. Comfortable with scrum.","We are hiring a Senior Data professional. Must have: python, sql, statistics. Nice to have: pandas, numpy.",Data,Senior,1
RS00077,"2+ years experience; key skills: tableau, numpy, javascript, agile. Delivered projects with focus on agile and collaboration. Comfortable with scrum.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: jira, api-testing.",QA,Junior,0
RS00078,"0+ years experience; key skills: ui, linux, monitoring. Delivered projects with focus on linux and collaboration. Comfortable with scrum.","We are hiring a Junior Backend professional. Must have: java, rest, databases. Nice to have: docker, aws.",Backend,Junior,0
RS00079,"5+ years experience; key skills: bash, jira, communication. Delivered projects with focus on jira and collaboration. Comfortable with documentation.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: spring, kafka.",Backend,Mid,0
RS00080,"3+ years experience; key skills: python, statistics, typescript, scrum, databases, metrics, etl. Delivered projects with focus on scrum and collaboration. Comfortable with documentation.","We are hiring a Mid Data professional. Must have: python, sql, statistics. Nice to have: numpy, pandas.",Data,Mid,1
RS00081,"10+ years experience; key skills: stakeholders, tableau, kubernetes, sql, requirements. Delivered projects with focus on requirements and collaboration. Comfortable with scrum.","We are hiring a Senior PM professional. Must have: requirements, planning, stakeholders. Nice to have: scrum, agile.",PM,Senior,0
RS00082,"8+ years experience; key skills: test-cases, bug-tracking, testing, etl, selenium, api-testing. Delivered projects with focus on selenium and collaboration. Comfortable with documentation.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: cypress, regression.",QA,Senior,1
RS00083,"5+ years experience; key skills: accessibility, tableau, rest, communication, microservices. Delivered projects with focus on rest and collaboration. Comfortable with documentation.","We are hiring a Mid Data professional. Must have: python, sql, statistics. Nice to have: scikit-learn, aws.",Data,Mid,0
RS00084,"5+ years experience; key skills: bug-tracking, test-cases, testing, statistics, linux, microservices, regression. Delivered projects with focus on linux and collaboration. Comfortable with agile.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: pytest, jira.",QA,Senior,1
RS00085,"7+ years experience; key skills: agile, scikit-learn, typescript, pandas. Delivered projects with focus on scikit-learn and collaboration. Comfortable with scrum.","We are hiring a Senior PM professional. Must have: requirements, planning, stakeholders. Nice to have: agile, scrum.",PM,Senior,0
RS00086,"0+ years experience; key skills: rest, scikit-learn, css, kafka. Delivered projects with focus on css and collaboration. Comfortable with documentation.","We are hiring a Junior Backend professional. Must have: java, rest, databases. Nice to have: docker, kafka.",Backend,Junior,0
RS00087,"5+ years experience; key skills: python, ui, pytest, tableau, test-cases. Delivered projects with focus on test-cases and collaboration. Comfortable with code reviews.","We are hiring a Mid Data professional. Must have: python, sql, statistics. Nice to have: etl, numpy.",Data,Mid,0
RS00088,"1+ years experience; key skills: planning, regression, python, javascript, databases, rest, spring. Delivered projects with focus on python and collaboration. Comfortable with scrum.","We are hiring a Junior PM professional. Must have: requirements, planning, stakeholders. Nice to have: agile, backlog.",PM,Junior,0
RS00089,"3+ years experience; key skills: requirements, agile, ci/cd, postgres. Delivered projects with focus on ci/cd and collaboration. Comfortable with scrum.","We are hiring a Mid PM professional. Must have: requirements, planning, stakeholders. Nice to have: scrum, backlog.",PM,Mid,0
RS00090,"2+ years experience; key skills: tableau, etl, databases. Delivered projects with focus on databases and collaboration. Comfortable with code reviews.","We are hiring a Junior PM professional. Must have: requirements, planning, stakeholders. Nice to have: scrum, backlog.",PM,Junior,0
RS00091,"1+ years experience; key skills: api-testing, tableau, accessibility, monitoring. Delivered projects with focus on accessibility and collaboration. Comfortable with scrum.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: api-testing, selenium.",QA,Junior,0
RS00092,"6+ years experience; key skills: testing, test-cases, bug-tracking, agile, ci/cd, communication. Delivered projects with focus on ci/cd and collaboration. Comfortable with code reviews.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: regression, selenium.",QA,Senior,1
RS00093,"2+ years experience; key skills: ci/cd, scrum, cypress, communication, etl, pandas. Delivered projects with focus on communication and collaboration. Comfortable with documentation.","We are hiring a Junior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: bash, aws.",DevOps,Junior,0
RS00094,"6+ years experience; key skills: test-cases, bug-tracking, testing, selenium, pandas, cypress. Delivered projects with focus on selenium and collaboration. Comfortable with documentation.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: pytest, cypress.",QA,Senior,1
RS00095,"2+ years experience; key skills: rest, databases, java, planning, css, kafka, typescript. Delivered projects with focus on planning and collaboration. Comfortable with agile.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: spring, postgres.",Backend,Mid,1
RS00096,"2+ years experience; key skills: css, bash, spring, kafka. Delivered projects with focus on kafka and collaboration. Comfortable with documentation.","We are hiring a Junior Frontend professional. Must have: javascript, html, css. Nice to have: accessibility, typescript.",Frontend,Junior,0
RS00097,"7+ years experience; key skills: etl, roadmap, docker, backlog. Delivered projects with focus on etl and collaboration. Comfortable with code reviews.","We are hiring a Senior Backend professional. Must have: java, rest, databases. Nice to have: docker, postgres.",Backend,Senior,0
RS00098,"10+ years experience; key skills: html, css, python, sql, terraform. Delivered projects with focus on sql and collaboration. Comfortable with code reviews.","We are hiring a Senior Frontend professional. Must have: javascript, html, css. Nice to have: ui, typescript.",Frontend,Senior,1
RS00099,"1+ years experience; key skills: scrum, selenium, javascript, html, tableau, aws. Delivered projects with focus on scrum and collaboration. Comfortable with documentation.","We are hiring a Junior Data professional. Must have: python, sql, statistics. Nice to have: tableau, scikit-learn.",Data,Junior,0
RS00100,"2+ years experience; key skills: java, rest, spring, microservices, kubernetes, html, css, jira. Delivered projects with focus on html and collaboration. Comfortable with scrum.","We are hiring a Mid Backend professional. Must have: java, rest, databases. Nice to have: docker, aws.",Backend,Mid,1
RS00101,"5+ years experience; key skills: ci/cd, docker, bug-tracking, regression, css, python. Delivered projects with focus on bug-tracking and collaboration. Comfortable with code reviews.","We are hiring a Senior DevOps professional. Must have: linux, ci/cd, containers. Nice to have: docker, bash.",DevOps,Senior,0
RS00102,"2+ years experience; key skills: stakeholders, planning, sql, docker, communication. Delivered projects with focus on communication and collaboration. Comfortable with documentation.","We are hiring a Junior PM professional. Must have: requirements, planning, stakeholders. Nice to have: agile, scrum.",PM,Junior,1
RS00103,"0+ years experience; key skills: test-cases, bug-tracking, jira, sql, api-testing. Delivered projects with focus on jira and collaboration. Comfortable with agile.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: cypress, api-testing.",QA,Junior,1
RS00104,"2+ years experience; key skills: stakeholders, docker, react, html, scikit-learn, aws, communication. Delivered projects with focus on scikit-learn and collaboration. Comfortable with scrum.","We are hiring a Mid PM professional. Must have: requirements, planning, stakeholders. Nice to have: backlog, communication.",PM,Mid,0
RS00105,"5+ years experience; key skills: python, pandas, html, backlog, containers. Delivered projects with focus on containers and collaboration. Comfortable with agile.","We are hiring a Mid Data professional. Must have: python, sql, statistics. Nice to have: aws, tableau.",Data,Mid,0
RS00106,"7+ years experience; key skills: etl, regression, scikit-learn, webpack. Delivered projects with focus on webpack and collaboration. Comfortable with scrum.","We are hiring a Senior Frontend professional. Must have: javascript, html, css. Nice to have: react, accessibility.",Frontend,Senior,0
RS00107,"2+ years experience; key skills: bug-tracking, css, pytest, pytest, kubernetes, postgres, scrum. Delivered projects with focus on kubernetes and collaboration. Comfortable with scrum.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: selenium, cypress.",QA,Junior,0
RS00108,"2+ years experience; key skills: bug-tracking, api-testing, statistics, aws, monitoring, rest, bash. Delivered projects with focus on monitoring and collaboration. Comfortable with documentation.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: regression, pytest.",QA,Junior,0
RS00109,"3+ years experience; key skills: javascript, html, css, numpy, java, scrum, typescript, postgres. Delivered projects with focus on java and collaboration. Comfortable with code reviews.","We are hiring a Mid Frontend professional. Must have: javascript, html, css. Nice to have: testing, typescript.",Frontend,Mid,1
RS00110,"1+ years experience; key skills: bug-tracking, testing, stakeholders, etl, kubernetes, cypress. Delivered projects with focus on cypress and collaboration. Comfortable with agile.","We are hiring a Junior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: pytest, jira.",QA,Junior,1
RS00111,"10+ years experience; key skills: scikit-learn, metrics, testing, sql, docker. Delivered projects with focus on docker and collaboration. Comfortable with scrum.","We are hiring a Senior PM professional. Must have: requirements, planning, stakeholders. Nice to have: scrum, backlog.",PM,Senior,0
RS00112,"4+ years experience; key skills: stakeholders, containers, typescript, scikit-learn. Delivered projects with focus on stakeholders and collaboration. Comfortable with scrum.","We are hiring a Mid Data professional. Must have: python, sql, statistics. Nice to have: numpy, aws.",Data,Mid,0
RS00113,"5+ years experience; key skills: testing, test-cases, statistics, regression, metrics, python. Delivered projects with focus on metrics and collaboration. Comfortable with documentation.","We are hiring a Senior QA professional. Must have: testing, test-cases, bug-tracking. Nice to have: api-testing, pytest.",QA,Senior,1
